#time =  2.4000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  6.378801582E-01  3.461093670E+02  1.000145798E+00  2.211924510E+01 -1.316964922E-01 -9.517772479E-06  1.735427782E-02  2.247680066E-02  4.967843456E-03 -4.395322785E-04
  6.606537649E-01  3.584661687E+02  1.000102829E+00  2.211829479E+01 -1.314433658E-01  3.347819270E-06  1.472114308E-02  1.887813950E-02  4.077424960E-03 -3.269120152E-04
  6.841733724E-01  3.712277452E+02  1.000057697E+00  2.211729665E+01 -1.311784128E-01  9.936036058E-06  1.243385972E-02  1.583085607E-02  3.297454761E-03 -2.854306851E-04
  7.084591738E-01  3.844050533E+02  1.000011140E+00  2.211626699E+01 -1.308912186E-01  5.643648972E-06  1.046547022E-02  1.325080028E-02  2.623298058E-03 -2.784363209E-04
  7.335316053E-01  3.980091814E+02  9.999633866E-01  2.211521088E+01 -1.305754513E-01 -3.622341329E-06  8.843013961E-03  1.112314296E-02  2.088044904E-03 -2.588117567E-04
  7.594113252E-01  4.120513386E+02  9.999139953E-01  2.211411854E+01 -1.302336679E-01 -8.250366047E-06  7.545104441E-03  9.406656920E-03  1.693162815E-03 -2.122636298E-04
  7.861191913E-01  4.265428423E+02  9.998623170E-01  2.211297562E+01 -1.298735895E-01 -3.061127040E-06  6.480126221E-03  8.003848714E-03  1.391701567E-03 -1.632988376E-04
  8.136762361E-01  4.414951044E+02  9.998083540E-01  2.211178218E+01 -1.294980982E-01  6.436057389E-06  5.544109745E-03  6.801026775E-03  1.124007393E-03 -1.446557881E-04
  8.421036387E-01  4.569196167E+02  9.997532773E-01  2.211056410E+01 -1.290969651E-01  5.749727440E-06  4.716011812E-03  5.752230445E-03  8.794895088E-04 -1.497444260E-04
  8.714226961E-01  4.728279346E+02  9.996980883E-01  2.210934354E+01 -1.286578425E-01 -8.529102833E-06  4.076404496E-03  4.927775307E-03  7.121440938E-04 -1.200747187E-04
  9.016547902E-01  4.892316600E+02  9.996396120E-01  2.210805027E+01 -1.282104589E-01  6.284856634E-06  3.536777372E-03  4.290712648E-03  5.774730537E-04 -8.357020306E-05
  9.328213537E-01  5.061424221E+02  9.995814630E-01  2.210676425E+01 -1.277240652E-01 -4.140120627E-07  3.028020561E-03  3.583848104E-03  4.454584820E-04 -1.123089171E-04
  9.649438326E-01  5.235718572E+02  9.995212389E-01  2.210543233E+01 -1.272187546E-01 -1.281407679E-06  2.622895823E-03  3.082303047E-03  3.510239313E-04 -1.065119990E-04
  9.980436462E-01  5.415315874E+02  9.994599387E-01  2.210407662E+01 -1.266855218E-01 -1.697536545E-07  2.285873508E-03  2.680449583E-03  2.781931811E-04 -9.456990433E-05
  1.032142144E+00  5.600331970E+02  9.993979658E-01  2.210270602E+01 -1.261226173E-01  7.296750558E-07  1.997912035E-03  2.332429426E-03  2.190780644E-04 -8.701160632E-05
  1.067260562E+00  5.790882080E+02  9.993354128E-01  2.210132260E+01 -1.255313745E-01  6.782135064E-07  1.750091337E-03  2.027301017E-03  1.706608525E-04 -8.403119744E-05
  1.103419972E+00  5.987080540E+02  9.992723011E-01  2.209992682E+01 -1.249130698E-01 -1.941324415E-08  1.538042904E-03  1.767409092E-03  1.319800574E-04 -8.205305208E-05
  1.140641232E+00  6.189040521E+02  9.992087388E-01  2.209852107E+01 -1.242673224E-01 -5.929517126E-07  1.357936108E-03  1.553095830E-03  1.021210077E-04 -7.840613456E-05
  1.178944930E+00  6.396873740E+02  9.991449713E-01  2.209711079E+01 -1.235922891E-01 -4.576232037E-07  1.204619932E-03  1.376225312E-03  7.932784159E-05 -7.336296435E-05
